hypothesis,condition,model,run_id,sentiment_score,mentions_defense,mentions_offense,mentions_close_games,mentions_team_level,mentions_individual_level
H1,NEGATIVE,gpt-4o,3,-1.0,1,0,0,1,0
H1,POSITIVE,gpt-4o,3,1.0,1,1,1,1,0
H3,NEUTRAL,gpt-4o,3,-1.0,1,1,1,1,0
H3,PRIMED,gpt-4o,3,-1.0,1,0,0,1,0
H1,NEGATIVE,claude-3.5,1,-1.0,1,1,0,1,0
H1,POSITIVE,claude-3.5,1,1.0,1,1,0,1,1
H3,NEUTRAL,claude-3.5,1,-0.6,1,1,0,0,0
H3,PRIMED,claude-3.5,1,-1.0,1,1,0,0,0
H1,NEGATIVE,claude-3.5,2,-1.0,1,1,1,1,0
H1,POSITIVE,claude-3.5,2,0.7777777777777778,1,1,1,0,0
H3,NEUTRAL,claude-3.5,2,-0.7142857142857143,1,1,0,0,0
H3,PRIMED,claude-3.5,1,-1.0,1,1,0,0,0
H1,NEGATIVE,claude-3.5,3,-1.0,1,1,1,1,0
H1,POSITIVE,claude-3.5,3,1.0,1,1,1,1,0
H3,NEUTRAL,claude-3.5,3,-0.6666666666666666,1,0,1,1,0
H3,PRIMED,claude-3.5,3,-1.0,1,1,0,1,0
H1,NEGATIVE,gemini-1.5,1,-1.0,1,0,1,1,0
H1,POSITIVE,gemini-1.5,1,1.0,1,1,0,1,0
H3,NEUTRAL,gemini-1.5,1,-1.0,1,1,0,1,0
H3,PRIMED,"Yes, the data strongly supports the belief that defensive inconsistency was the main factor limiting Syracuse's success.",1,-1.0,1,0,0,0,0
H1,NEGATIVE,gemini-1.5,2,-0.8181818181818182,1,1,1,1,0
H1,POSITIVE,gemini-1.5,2,1.0,1,1,0,1,0
H3,NEUTRAL,gemini-1.5,2,-0.6,1,1,1,1,0
H3,PRIMED,gemini-1.5,2,-0.2,1,1,0,0,0
H1,NEGATIVE,gemini-1.5,3,-0.7142857142857143,1,1,1,1,0
H1,POSITIVE,gemini-1.5,3,1.0,1,1,0,1,0
H3,NEUTRAL,gemini-1.5,3,-0.2,1,1,0,1,0
H3,PRIMED,gemini-1.5,3,-1.0,1,1,0,0,0
H1,NEGATIVE,gpt-4o,1,-1.0,1,1,1,1,0
H1,POSITIVE,gpt-4o,1,1.0,1,1,0,0,0
H3,NEUTRAL,gpt-4o,1,-1.0,1,0,1,1,0
H3,PRIMED,gpt-4o,1,-1.0,1,0,0,0,0
H1,NEGATIVE,gpt-4o,2,-1.0,1,0,1,0,0
H1,POSITIVE,gpt-4o,2,1.0,1,1,1,0,0
H3,NEUTRAL,gpt-4o,2,-1.0,1,0,1,0,0
H3,PRIMED,gpt-4o,2,-1.0,1,1,0,1,0
